"idTipoAmbiente","tipo","definicion"
"1","REALISTA","<h4>El Ambiente de profesiones u ocupaciones de tipo Realista se define así: </h4><br/><br/>
 <p> A las personas con intereses realistas les gustan actividades que incluyan problemas y soluciones prácticas y directas. Con frecuencia, a las personas con intereses realistas no les gustan las carreras que requieren trabajo de oficina o trabajar junto a otras personas. Les gusta: </p><br/><br/> <p><ul><li>Trabajar con plantas y animales</li><li>Materiales reales, tales como madera, herramientas y maquinaria</li><li>Trabajo al aire libres</li></ul></p><br/>"
"2","INVESTIGATIVO","<h4>El Ambiente de profesiones u ocupaciones de tipo de Investigación se define así: </h4><br/> <p> A las personas con intereses de investigación, le gustan trabajos relacionados con ideas y razonamiento en lugar de actividades fisicas o liderazgo de personal. Les gusta: </p><br/> <p> <ul> <li>Búsqueda de hechos</li> <li>Resolución de problemas</li> </ul> </p><br/>"
"3","ARTISTICO","<h4>El Ambiente de profesiones u ocupaciones de tipo Artístico se define así: </h4><br/> <p> A las personas con intereses artísticos, les gustan trabajos relacionados con el lado artístico de las cosas, tales como actuar, música, arte y diseño.  Les gusta: </p><br/> <p> <ul> <li>Creatividad en su trabajo</li> <li>Trabajo que puede hacerse sin seguir una serie de reglas</li> </ul> </p><br/>"
"4","SOCIAL","<h4>El Ambiente de profesiones u ocupaciones de tipo Social se define así: </h4><br/> <p> A las personas con intereses sociales les gusta trabajar con otros para ayudarlos a aprender y a desarrollar su conocimiento. Les gusta trabajar con personas más que trabajar con objetos, maquinaria o información. Les gusta: </p><br/> <p> <ul> <li>Enseñanza</li> <li>Dar consejos</li> <li>Ayudar y dar consejos a otros</li> </ul> </p><br/>"
"5","EMPRENDEDOR","<h4>El Ambiente de profesiones u ocupaciones de tipo Emprendedor se define así: </h4><br/> <p> A las personas con intereses empresariales les gustan trabajos que tengan que ver con el comienzo y continuación de proyectos de negocios. A estas personas les gusta tomar acciones en lugar de pensar sobre las cosas. Les gusta: </p><br/> <p> <ul> <li>Persuadir y dirigir personal</li> <li>Tomar decisiones</li> <li>Tomar riesgos para obtener ganancias</li> </ul> </p><br/>"
"6","CONVENCIONAL","<h4>El Ambiente de profesiones u ocupaciones de tipo Convencional se define así: </h4><br/> <p>A las personas con intereses convencionales les gustan trabajos que siguen procedimientos y rutinas. Prefieren trabajar con información y poner atención a detalles en lugar de trabajar con ideas. Les gusta: </p><br/> <p> <ul> <li>Trabajar con reglas claras</li> <li>Seguir a un líder influyente</li> </ul> </p><br/>"
